Year,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
2012,20. Reading,41,10.3,451,42.8,69.2,18.4,6.64
2011,1. Manchester United,89,17,511,55.9,84.8,8.3,7.15
2011,2. Manchester City,93,19.4,515,56.6,85.4,9,7.12
2011,3. Tottenham,66,18.4,433,55.5,84.2,11,7.04
2011,4. Arsenal,79,16.8,644,57.7,84.1,10.6,6.94
2011,5. Chelsea,64,17.7,744,54.2,84.5,8.3,6.9
2011,6. Fulham,48,14.2,540,49.3,81.4,9.5,6.83
2011,7. Liverpool,45,17.6,535,53.6,80.7,12.9,6.82
2011,8. Sunderland,45,12.1,594,45.6,73.6,10.8,6.81
2011,9. Swansea,44,12.4,402,56.2,85.1,5.9,6.8
2011,10. Newcastle United,51,12.9,672,47.9,76,10.9,6.78
2011,11. Aston Villa,37,11.5,702,45.7,72.2,13.5,6.77
2011,12. Everton,51,13.7,602,48.4,76.7,11.8,6.75
2011,13. West Bromwich Albion,47,14.3,471,46.7,76.2,10.8,6.73
2011,14. Queens Park Rangers,43,14.2,549,46.6,73.8,11,6.71
2011,15. Bolton,46,13,505,47.5,71.1,12.8,6.68
2011,16. Norwich,52,13.5,583,47.4,75.4,10.5,6.67
2011,17. Wigan,42,13.7,673,49.9,79.9,7.9,6.66
2011,18. Stoke,38,9.9,602,43.3,69.1,15.3,6.65
2011,19. Blackburn,48,11.9,665,43.8,71.2,9.4,6.63
2011,20. Wolverhampton Wanderers,42,12.4,644,48.2,75.6,10.6,6.58
2010,1. Chelsea,69,19.6,591,56,83,12.7,7.05
2010,2. Manchester United,78,16.3,563,54.6,80.8,12.6,7.03
2010,3. Arsenal,72,17.2,656,57.7,83.4,13.7,7.02
2010,4. Tottenham,55,17.3,512,53.4,79.6,16.2,6.98
2010,5. Manchester City,58,14.4,715,52.5,81.5,12.2,6.98
2010,6. Liverpool,61,15.3,632,51.5,76.6,13.9,6.9
2010,7. Fulham,49,14.4,521,50.2,75.5,16,6.9
2010,8. Bolton,52,15,675,47.4,66.6,20.9,6.88
2010,9. Sunderland,45,14,575,48.8,71,17.8,6.83
2010,10. Aston Villa,48,13.3,712,49.1,73.4,16.5,6.82
2010,11. Everton,51,15.3,555,49.9,75.5,14.4,6.81
2010,12. Wigan,40,13.4,674,50.6,74.8,12.5,6.8
2010,13. Newcastle United,57,13.3,782,49.8,75.4,15.8,6.79
2010,14. West Ham,43,15.1,591,46.4,74.9,16.3,6.76
2010,15. Stoke,46,12.7,682,42,63.4,19.8,6.75
2010,16. Blackburn,46,11.9,655,44,64.2,15.7,6.74
2010,17. Blackpool,59,14,472,49.9,75.4,13.5,6.73
2010,18. West Bromwich Albion,56,15.7,527,48.7,77.2,11.2,6.7
2010,19. Birmingham,37,10.6,573,47.9,70.6,16.9,6.68
2010,20. Wolverhampton Wanderers,46,12.1,622,49.6,71.6,14.7,6.65
2009,1. Chelsea,103,21.9,545,56.9,82.5,11.6,7.3
2009,2. Tottenham,67,17.9,581,52.2,76.1,18.2,7.19
2009,3. Manchester United,86,18.3,494,55.6,79.9,13.2,7.19
2009,4. Arsenal,83,17.4,561,57,80.8,14.4,7.17
2009,5. Aston Villa,52,13.1,592,48.5,71.8,18.8,7.06
2009,6. Manchester City,73,13.8,492,52.2,76,12.7,7.06
2009,7. Liverpool,60,16.9,555,55.8,78.5,13,7.04
2009,8. Everton,60,15.5,572,51.2,75,16.2,7
2009,9. Birmingham,38,11.9,741,47.7,67.2,16.9,6.91
2009,10. Sunderland,48,11.7,779,47.3,65.9,18.9,6.89
2009,11. West Ham,47,14.4,623,49.4,74.9,15.3,6.88
2009,12. Fulham,39,12.2,461,49.9,73.8,15.5,6.86
2009,13. Bolton,42,14.7,745,45.1,63.7,20.1,6.85
2009,14. Stoke,34,10.6,635,43.4,62.2,19.6,6.82
2009,15. Wigan,37,14.6,653,51.4,74.3,14.9,6.81
2009,16. Blackburn,41,12.9,572,45.9,63.8,21.2,6.8
2009,17. Portsmouth,37,14,685,48.4,73.6,13.7,6.72
2009,18. Wolverhampton Wanderers,31,11.5,634,47.6,67.3,15,6.71
2009,19. Burnley,42,12.1,572,49.2,68.7,15.2,6.67
2009,20. Hull,39,10.2,646,45.4,66.7,16.2,6.64
